City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,274.21,86,75,4.63,CL,Mon Jul 29 00:16:53 2024
1,pyapon,16.2833,95.6833,299.72,87,100,1.22,MM,Mon Jul 29 00:16:54 2024
2,puerto deseado,-47.7503,-65.8938,275.11,68,26,6.25,AR,Mon Jul 29 00:16:55 2024
3,hithadhoo,-0.6,73.0833,302.09,71,100,4.57,MV,Mon Jul 29 00:16:56 2024
4,grytviken,-54.2811,-36.5092,271.99,81,62,4.78,GS,Mon Jul 29 00:08:28 2024
5,leh,34.1667,77.5833,294.23,26,7,0.85,IN,Mon Jul 29 00:16:58 2024
6,kayangel,8.0823,134.7173,301.84,71,75,2.86,PW,Mon Jul 29 00:16:59 2024
7,adamstown,-25.066,-130.1015,294.18,75,100,5.27,PN,Mon Jul 29 00:08:34 2024
8,bethel,41.3712,-73.414,294.82,84,75,0.0,US,Mon Jul 29 00:13:39 2024
9,broome,42.2506,-75.833,293.4,78,61,0.58,US,Mon Jul 29 00:17:02 2024
10,blackmans bay,-43.0167,147.3167,282.44,64,6,1.25,AU,Mon Jul 29 00:17:04 2024
11,hermanus,-34.4187,19.2345,278.6,75,80,5.71,ZA,Mon Jul 29 00:17:05 2024
12,isafjordur,66.0755,-23.124,281.03,96,100,2.28,IS,Mon Jul 29 00:17:06 2024
13,zambezi,-13.5432,23.1047,283.32,25,0,2.12,ZM,Mon Jul 29 00:17:07 2024
14,trinity,28.1808,-82.6818,299.9,90,100,0.89,US,Mon Jul 29 00:17:08 2024
15,uturoa,-16.7333,-151.4333,299.65,85,3,6.73,PF,Mon Jul 29 00:17:09 2024
16,vorkuta,67.5,64.0,292.51,72,81,4.96,RU,Mon Jul 29 00:17:10 2024
17,edinburgh of the seven seas,-37.0676,-12.3116,287.18,96,76,3.92,SH,Mon Jul 29 00:08:37 2024
18,caninde de sao francisco,-9.66,-37.7894,292.85,98,15,1.39,BR,Mon Jul 29 00:17:12 2024
